"Election for","BIDS Steering Group 2024"
"Date",""
"Number to be elected",1
"Valid votes",99
"Invalid votes",3
"Quota",0
"OpaVote",""
"Election rules","Instant Runoff Voting"
,,"Stage",2,"Stage",3,"Stage",4
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Alessio Giacomel",,"Ashley Stewart",,"Arnaud Delorme",
"Alessio Giacomel",4,-4,"-",,"-",,"-",
"Arnaud Delorme",20,,20,+3,23,-23,"-",
"Ashley Stewart",16,+2,18,-18,"-",,"-",
"Franco Pestilli",41,+2,43,+6,49,+10,59,"Elected"
"Lyuba Zehl",18,,18,+8,26,+8,34,
"Non-transferable",,,0,+1,1,+5,6,
"Totals",99,,99,,99,,99
